# CSV-File created with merge-csv.com
# -----------------------------------------------------------

,Product Name,Brand Name,Detail,Dose,Pack Size,Features,Image Link,Product Link
10,FITSOL SUGARCANE GRADES 1 & 2,Coromandel,A 100% water-soluble developed for fertigation application in sugarcane for higher productivity in terms of quality and quantity.,Stage Tillering: 36-100 DAP – GROMOR FITSOL Sugarcane 1 – 75 Kg/acre dose (7 Kg/week/ac) Stage Grand Growth: 101-270 DAP – GROMOR FITSOL Sugarcane 2 – 100 Kg/acre dose (4.1 Kg/week/ac),Pack Size 25 Kg,"Crop-specific and stage specific grades for fertigation.
FITSOL Sugarcane Grade 1 contains N:P:K:MgO:S -10:28:16:3:2 with Zn, B, Fe, Mn, Cu and FITSOL Sugarcane Grade 2 contains N:P:K:S – 12:00:38:2 with Mg, Zn, B, Fe, Cu, Mn.
Easy to use – Supreme nutrient efficiency.
Tailor made solution for Macro – Micronutrients.
Designed with pH control mechanism.
Unique solution centric product – supreme yield and better profit.",https://www.coromandel.biz/wp-content/uploads/2021/07/fitsol-sugarcane-big.png,https://www.coromandel.biz/product-service/fitsol-sugarcane-grades-1-and-2/
11,ACUSPRAY CEREAL,Coromandel,"A 100% water-soluble fertiliser, this is designed to supply critical nutrients to cereal crops during the reproductive phase.",Gromor AcuSpray Cereal SP should be applied at 10grams/litres of water. 2-3 sprays can be done starting from flowering and can be continued till physiological crop maturity.,Pack Size 1 Kg,"Contains 12:00:35:1:0.3 (N:P:K:Zn:B).
Crop-specific customised solutions.
Four important nutrients in one formula.
Supplies 100% crop need of micronutrients during reproductive stage.
Customised for solution pH for better absorption by the plants.",https://www.coromandel.biz/wp-content/uploads/2021/07/acuspray-cereal-big.png,https://www.coromandel.biz/product-service/acuspray-cereal/
12,ACUSPRAY COTTON,Coromandel,"A 100% water-soluble foliar application fertiliser, this is customised for higher yields of cotton under Indian conditions.","Gromor AcuSpray Cotton SP should be applied at 10grams/litre of water during pre-flowering, boll initiation and boll development stage.",Pack Size 1 Kg,"Contains 11:00:37 (N:P:K) & Zn, B, Mg
Crop Specific customised solutions.
Combination of five most important nutrients for cotton.
Along with Nitrogen and Potassium, meets the crop demand of critical micronutrients Zinc and Boron and secondary nutrient Magnesium during boll development.
Customised for solution pH for better absorption by the plants.",https://www.coromandel.biz/wp-content/uploads/2021/07/acuspray-cotton-big.png,https://www.coromandel.biz/product-service/acuspray-cotton/
13,ACUSPRAY PULSES,Coromandel,"A customised Potash based fertiliser, specially designed for pulses during the flowering stage and pod development stages.",2-3 sprays are recommended during flowering and pod development stage of the pulses crops at an interval of 7-10 days. Concentration should be 1.0% i.e 10grams/litre.,Pack Size 1 Kg,"Contains 10:08:34:2 (N:P:K:S) & Mg, B, Zn, Fe, Mo
Has safe and effective pH level.",https://www.coromandel.biz/wp-content/uploads/2021/07/acuspray-pulses-big.png,https://www.coromandel.biz/product-service/acuspray-pulses/
14,ACUSPRAY POTATO,Coromandel,With high Potassium content this fertiliser is designed to result in increased tuber size of potatoes.,2-3 sprays are recommended during tuber inititation and tuber development stage of the potato crop at an interval of 7-10 days. Concentration should be 1.0% i.e 10grams/litre of water.,Pack Size 1 Kg,"Contains 10:05:36 (N:P:K) & S, Zn, B, Mn, Mg
Has safe and effective pH level.",https://www.coromandel.biz/wp-content/uploads/2021/07/acuspray-potato-big.png,https://www.coromandel.biz/product-service/acuspray-potato/
15,ACUSPRAY SUGARCANE,Coromandel,"This not only provides balanced nutrition for the sugarcane crop, but also ensures more cane per clump with greater cane weight.","Dose: 1.5% concentrations (15grams/litre) to be sprayed on the crop foliage. Stage: Total 2-3 sprays are recommended during tillering stage, approximately 50 days after planting and can be continued till 100 days of crop at the interval of 15-20 days.",Pack Size 1 Kg,"Contains 12:26:20(N:P:K) & S, Zn, B, Mg, Fe
Customised application (Time & Crop): Gromor AcuSpray Sugarcane SP provides balanced nutrition to the crop.
Necessary Micronutrients: Gromor AcuSpray Sugarcane SP covers about 30-40% need of all micronutrients.
Effective pH: Gromor AcuSpray Sugarcane SP is a safe and has effective pH level.
High Quality: Being a K – based formula, it improves disease and drought resistance.",https://www.coromandel.biz/wp-content/uploads/2021/07/acuspray-sugarcane-big.png,https://www.coromandel.biz/product-service/acuspray-sugarcane/
16,ACUSPRAY CHILLI,Coromandel,"100% water-soluble, this is designed for foliar application with a stage-specific formula enriched with all the primary, secondary and micronutrients.","Gromor AcuSpray Chilli SP should be applied at 10grams/litre of water during flowering, fruit initiation, fruit formation and fruit development stage.",Pack Size 1 Kg,"Crop Specific customised solution.
Contains 8:14:31:4 (N:P:K:S) & Zn, B, Mn, Mg, Fe, Cu
It covers about 30-40 % need of all micronutrients.
It provides balance nutrition to the crop, is safe and has effective pH level.",https://www.coromandel.biz/wp-content/uploads/2021/07/acuspray-chilli-big.png,https://www.coromandel.biz/product-service/acuspray-chilli/
17,GROMOR POWER 16-8-24,Coromandel,"Gromor Power 16:8:24 is a unique, crop specific, water-soluble fertilizer especially designed for fertigation application in flower crops. It is enriched with primary, secondary and micronutrients, giving your crop the right balance of nutrition at the right stage.",Fertigation: As per recommended dosage.,Pack Size 25 KG,"Ensures export quality flower production.
Contains N:P:K (16:8:24), S, Mg, Zn, B, Fe, Mn, Cu.
Ideal NPK Ratio (2:1:3) fortified with secondary and critical trace elements.
Best suited for application for flower crops under open and polyhouse conditions.",https://www.coromandel.biz/wp-content/uploads/2021/11/gromor_power_16-8-24_big.png,https://www.coromandel.biz/product-service/gromor-power-16-8-24/
18,SUPERIA,Coromandel,This is superior plant nutrition for foliar application with 1:1 N:P ratio along with secondary and micro-nutrients.,1.0% concentration (10grams/litre of water) to be used as foliar spray during vegetative and flowering stages.,Pack Size 1 Kg,"N:P ratio of 1:1 along with essential secondary and micronutrients (Zn, S, B, Fe & Mn)
Scientifically formulated to give ideal plant nutrition.
Better leaf absorption properties.",https://www.coromandel.biz/wp-content/uploads/2021/11/superia_big.png,https://www.coromandel.biz/product-service/superia/
19,FOLIBOR,Coromandel,Folibor (Disodium Octoborate Tetrahydrate) for Foliar and fertigation application,"Foliar Application: Prepare solution (1-1.5 g in one litre of water) and spray 2-3 times during
critical stages of crop growth. Fertigation: 500 g per acre, 2-3 times during critical stages of crop growth.","Pack Size 100 g, 250 g, 1 kg","Ideal Boron fertiliser containing 20% Boron.
Powder form suited for foliar application as well as fertigation.
Readily soluble in water.
Quickly dissolvable in water and even in more vicious liquids, at low
temperatures as well.
Compatible with all kinds of pesticides.
High uptake through leaves.",https://www.coromandel.biz/wp-content/uploads/2021/11/folibor_big.png,https://www.coromandel.biz/product-service/folibor/
20,NOVOZIN,Coromandel,It is chelated Zinc in EDTA form which is superior to other normal sources of zinc which make Zinc available to crops very slowly.,"Soil Application: Mix 500g of NOVOZIN with 10kg soil /carriers and apply uniformly in one acre. Foliar Application: Dissolve 100g of NOVOZIN in 150-200 litres of water and spray over one acre of standing crop. Fertigation: 500g per acre, can be mixed with water soluble fertiliser for application.","Pack Size 100 g, 200 g, 500 g","NOVOZIN (Zn EDTA in chelated form) is readily available and easily translocated within plants, unlike Zinc Sulphates (Zn 21% & Zn 33%) which are partly systemic.",https://www.coromandel.biz/wp-content/uploads/2021/07/novozin_big.png,https://www.coromandel.biz/product-service/novozin/
21,GROMOR MAGNESIUM SULPHATE,Coromandel,Gromag (Magnesium Sulphate) for foliar & soil application.,Soil Application: 25 kg -50 kg/ acre at the time of sowing or transplanting. Foliar Application: 4-5 g/litre.,"Pack Size 1 kg, 5 kg, 10 kg, 25 kg, 50 kg","Contains two secondary nutrients — Mg-9.6% & S-12%.
Ease of handling & application. 
Highly soluble.",https://www.coromandel.biz/wp-content/uploads/2021/11/gromac_magnesium_big.png,https://www.coromandel.biz/product-service/gromor-magnesium-sulphate/
22,GROMOR SOLIBOR,Coromandel,Boron 14.5% (Disodium Tetraborate Pentahydrate) for soil application.,2-3 kg/acre during sowing or one month before flowering.,"Pack Size 1 kg, 25 kg","Contains Boron (14.5%) in 2-4 mm sized granules.
Granular form suited for uniform soil application.
Highly crush-resistant during transport and handling.",https://www.coromandel.biz/wp-content/uploads/2021/11/gromor_granubor_solobor_big.png,https://www.coromandel.biz/product-service/gromor-soilbor/
23,GROMOR POWER 13-40-13,Coromandel,NPK 13:40:13 for fertigation.,Fertigation: As per recommended dosage.,Pack Size 25 KG,"Made from high quality ingredients.
Virtually free of Chlorides, Sodium and other elements detrimental to plants.
N:P: K fertiliser with ratio 1:3:1 ensures profuse flowering, flower setting and fruit setting.
Suitable for all crops and helps in root development, bud differentiation, early maturity in
crops.
Most suitable for fast and bumper white root development.",https://www.coromandel.biz/wp-content/uploads/2021/11/gromor_power_13_40_13.png,https://www.coromandel.biz/product-service/gromor-power-13-40-13/
24,GROMOR POWER CNB,Coromandel,15.5% N +18% Ca f0.3% B,Fertigation: As per recommended dosage.,Pack Size 25 KG,"Highly water-soluble; Contains dual nutrients Ca & B important for F&V.
Free of Chloride, Sodium and heavy metals.
Helps the plants in higher conversion of flowers to fruits.
Vital for the growth , physical strength, flowering, fertilisation and fruit set of the plants.
Increases uptake of other nutrients & provides uniform shape & colour to produce.",https://www.coromandel.biz/wp-content/uploads/2021/11/gromor_power_cnb_big.png,https://www.coromandel.biz/product-service/gromor-power-cnb/
25,GROMOR POWER CN,Coromandel,Calcium Nitrate (N 15.5% Ca 18.5%) for fertigation,Fertigation: As per recommended dosage.,"Pack Size 5 kg, 10 kg, 25 kg","Contains 15.5% Nitrogen and 18.5% Calcium.
100% water-soluble Calcium.
Free of Chloride, Sodium and heavy metals.
Free-flowing product that dissolves quickly in water.
Improves soil condition.
Highly beneficial for alkaline, saline, sandy soils.
Facilitates quality fruit production.",https://www.coromandel.biz/wp-content/uploads/2021/11/gromorcn_big.png,https://www.coromandel.biz/product-service/gromor-power-cn/
26,GROMOR POWER 0-0-50,Coromandel,0:0:50 (Sulphate of Potash) for Fertigation,Fertigation: As per recommended dosage.,"Pack Size 5 kg, 25 kg","Rich source of Potassium for the final phase of the crop’s growth.
Acidic nature helps to prevent blockage of nozzles and drip lines of the irrigation
system.
Low salt index.
Chloride-free.
Non-hygroscopic.
Free-flowing crystalline powder.
Can be mixed with other water-soluble fertilisers (not containg Calcium).",https://www.coromandel.biz/wp-content/uploads/2021/11/gromor_0-0-50-big.png,https://www.coromandel.biz/product-service/gromor-power-0-0-50/
27,GROMOR POWER 0-52-34,Coromandel,0:52:34 (Mono Potassium Phosphate) for fertigation,Fertigation: As per recommended dosage.,"Pack Size 5 kg, 25 kg","100% assimilable nutrients, ensuring total availability of Phosphorous and Potassium.
Highest nutrient containing fertiliser (86%).
Free of Chloride, Sodium and heavy metals.
Free- flowing crystalline powder that dissolves quickly in water.
Can be mixed with other water-soluble fertilisers (not containing Calcium).
Low salt index(8.4).",https://www.coromandel.biz/wp-content/uploads/2021/11/gromor_0-52-34-big.png,https://www.coromandel.biz/product-service/gromor-power-0-52-34/
28,GROMOR POWER 12-61-0,Coromandel,12:61:0 (Mono Ammonium Phosphate) for fertigation,Fertigation: As per recommended dosage.,"Pack Size 5 kg, 25 kg","Contains Nitrogen (12%) and Phosphorous (61%).
Very low in Chloride, Sodium and heavy metals.
Free- flowing crystalline powder that dissolves quickly in water.
Can be mixed with other water-soluble fertilisers (not containing Calcium).
Low pH (4-4.5).",https://www.coromandel.biz/wp-content/uploads/2021/11/gromor_12-61-0_big.png,https://www.coromandel.biz/product-service/gromor-power-12-61-0/
29,GROMOR POWER 13-0-45,Coromandel,13:0:45 (Potassium Nitrate) for fertigation,Fertigation: As per recommended dosage.,"Pack Size 5 kg, 25 kg","Contains two essential nutrients — Nitrate (13%) and Potash (45%).
Consists of 100% plant nutrients.
Virtually free of Chloride, Sodium and other elements detrimental to plants.
Efficiency absorbed by plants.
Non-volatile, easy to apply with no atmospheric loss of Nitrogen.",https://www.coromandel.biz/wp-content/uploads/2021/11/gromor_13-0-45_big.png,https://www.coromandel.biz/product-service/gromor-power-13-0-45/
30,GROMOR POWER 19-19-19,Coromandel,NPK 19:19:19 for fertigation,Fertigation: As per recommended dosage.,Pack Size 25 KG,"Contains all three forms of Nitrogen.
Made of high-quality ingredients.
Contains 100% plant nutrients.
Virtually free of Chloride, Sodium and other elements detrimental to plants.
Provides balanced, complete plant nutrition.",https://www.coromandel.biz/wp-content/uploads/2021/11/gromor_19-19-19_big.png,https://www.coromandel.biz/product-service/gromor-power-19-19-19/
31,GROMOR Spray CN,Coromandel,Calcium Nitrate (N:15.5 Ca: 18.5) for foliar application.,10 grams per litre of water,Pack Size 1 kg,"Contains 15.5% Nitrogen and 18.5% Calcium.
100% water-soluble Calcium.",https://www.coromandel.biz/wp-content/uploads/2021/11/spray_cn_big.png,https://www.coromandel.biz/product-service/gromor-spray-cn/
32,GROMOR Spray 0-0-50,Coromandel,0:0:50 (Potassium Sulphate) for foliar application.,10 grams per litre of water,Pack Size 1 kg,"Rich source of Potash and Sulphur.
Most effective source of Potassium for Chloride-sensitive crops (fruits, vines, tobacco,
potato, vegetables, etc).
Low salt index and non — hygroscopic.
Chloride — free.",https://www.coromandel.biz/wp-content/uploads/2021/11/spray_0-0-50_big.png,https://www.coromandel.biz/product-service/gromor-spray-0-0-50/
33,GROMOR Spray 0-52-34,Coromandel,0:52:34 (Mono Potassium Phosphate) for foliar application.,10 grams per litre of water,Pack Size 1 kg,"Contains two essential plant nutrients – Phosphorous (52%) and Potassium (34%).
Low salt index, high purity and easily assimilable nutrients.
Ideal for foliar application to supply Phosphorous and Potassium during their high-demand
stage.",https://www.coromandel.biz/wp-content/uploads/2021/11/spray_0-52-34_big.png,https://www.coromandel.biz/product-service/gromor-spray-0-52-34/
34,GROMOR Spray 12-61-0,Coromandel,12:61:0 (Mono Ammonium Phosphate) for foliar application.,10 grams per litre of water,Pack Size 1 kg,"Contains 12% Nitrogen and 61% Phosphorous.
Low pH (4-4.5).
Free of Chloride, Sodium and other elements detrimental to plants.
Provides immediate Phosphorous whenever crop demand for it is very high.",https://www.coromandel.biz/wp-content/uploads/2021/11/spray_12-61-0_big.png,https://www.coromandel.biz/product-service/gromor-spray-12-61-0/
35,GROMOR Spray 13-0-45,Coromandel,13:0:45 (Potassium Nitrate) for foliar application.,10 grams per litre of water,Pack Size 1 kg,"Contains 13% Nitrate Nitrogen and 45% Potassium Nitrate.
High solubility, high purity, free flowing and low salt index.
Virtually free of Chloride, Sodium and other elements detrimental to plants.
Easy and safe to use.
Ideal source of foliar Potassic nutrition, due to Potassium-Nitrate synergism.",https://www.coromandel.biz/wp-content/uploads/2021/11/spray_13-0-45_big.png,https://www.coromandel.biz/product-service/gromor-spray-13-0-45/
36,GROMOR Spray 19-19-19,Coromandel,NPK 19:19:19 for foliar application.,10 grams per litre of water,Pack Size 1 kg,"Specially manufactured grade for foliar application on all crops.
Contains all three forms of Nitrogen.
Free from Chloride, Sodium and other elements detrimental to plants.
Compatible with most common pesticides and fungicides.",https://www.coromandel.biz/wp-content/uploads/2021/11/spray_19-19-19_big.png,https://www.coromandel.biz/product-service/gromor-spray-19-19-19/
37,GROMOR Sulphur,Coromandel,Coromandel has pioneered the manufacture of Bentonite Sulphur in India.,10 kg during land preparation and first fertiliser application. Dosage may vary based on crop type.,"Pack Size 1 kg, 5 kg, 10 kg, 25 kg, 50 kg","Maximum percentage (90%) of Sulphur in elemental form, with 10% Bentonite
clay.
New pastille form facilitates easy and safe application of Sulphur.
Releases Sulphur in slow and controlled manner, reduces wastage and ensures maximum
availability to the crop over a longer duration.",https://www.coromandel.biz/wp-content/uploads/2021/11/sulphur_big.png,https://www.coromandel.biz/product-service/gromor-sulphur/
38,GROMOR SulphoZinc,Coromandel,Long lasting soil fertiliser with goodness of Sulphur and Zinc,7.5 — 10 kg per acre during sowing/ transplantation.,"Pack Size 1 kg, 5 kg","Unique product manufactured only by Coromandel in India.
Contains Sulphur in elemental form (65%) and Zinc (18%) in Zinc Oxide form.
Ideal solution for bi-nutrient deficiency of Sulphur and Zinc.
Compatible with Phosphatic fertilisers.
Easy to apply.",https://www.coromandel.biz/wp-content/uploads/2021/11/sulphazinc_big.png,https://www.coromandel.biz/product-service/gromor-sulphozinc/
39,GROMOR POWER 28-28-0,Coromandel,This is an innovative fast-action 100% water-soluble fertiliser providing immediate nutrition during the peak growth stage of the crop.,25 kg/acre (1-2 bags based on crop) during vegetative growth,Pack Size 25 Kg,"Innovative, fast-action 100% water-soluble fertiliser containing high N & P.
It provides immediate nutrition to the crop during peak growth stage.",https://www.coromandel.biz/wp-content/uploads/2021/07/gromor_28-28-0_big.png,https://www.coromandel.biz/product-service/gromor-power-28-28-0/
0,GroShakti Plus,Coromandel,"GroShakti Plus is a superior complex Fertilizer with EnPhos Technology and fortified Zinc. It has the Extra Power to Increase the yield, coupled with superior quality Produce. It is suitable for various crops like Cereals, Pulses, Oilseeds, Fruit and Vegetable crops etc.",,Pack Size 50 KG,"Enhanced 14-35-14, Zincated with EnPhos Technology
Highest nutrient content among N:P:K fertilizers with 63% nutrients.
N : P2O5 : K2O in the ratio of 1:2.5:1, which is scientifically ideal for basal application and top dressing.
It also contains Potassium (14%) besides Nitrogen and Phosphorous helps for higher quality",https://www.coromandel.biz/wp-content/uploads/2021/11/groshakti_plus_big.png,https://www.coromandel.biz/product-service/groshakti-plus/
1,GROSHAKTI,Coromandel,"The complete balanced fertiliser with Nitrogen at 14%, Phosphorus at 35% and Potassium at 14%, along with secondary and micro-nutrients for paddy, cotton, chillies etc.",,Pack Size 50 KG,"Highest nutrient content among N:P:K fertilizers with 63% nutrients.
Highest phosphorous content of 35% among NPK Grades.
N:P2O5:K2O in the ratio of 1:2.5:1, which is scientifically ideal for basal application and top dressing.
It also contains Potassium (14%) besides Nitrogen and Phosphorous helps for higher quality.",https://www.coromandel.biz/wp-content/uploads/2021/06/groshakti_big.png,https://www.coromandel.biz/product-service/groshakti/
2,GROSMART,Coromandel,"A unique fertiliser with Micronized Sulphur Technology, which provides Sulphur for a longer period for Sulphur loving crops like Onion, Soyabean etc.",,Pack Size 50 KG,"GroSmart 24-24-0-8 is a unique fertiliser supplies Nitrogen in two forms: 7.5% is in Ammoniacal form and 16.5% in Urea form.
20.0% out of total 24% Phosphate is in water soluble form.
It supplies Sulphur in two forms: Sulphate (4%) which is readily available to plants and elemental Sulphur (4%) which remains in soil for a longer period.",https://www.coromandel.biz/wp-content/uploads/2021/06/grosmart_big.png,https://www.coromandel.biz/product-service/grosmart/
3,PARAMFOS,Coromandel,"With Nitrogen at 16%, Phosphorus at 20% and Sulphur at 13%, this fertiliser is the most preferred one in drill-sown areas and ideal for sugarcane, groundnut, maize etc.",,Pack Size 50 KG,"Paramfos 16-20-0-13 is Ammonium Phosphate Sulphate containing Nitrogen, Phosphorous and Sulphur.
Nitrogen completely in Ammonical form.
More than 85% of Phosphorus in Paramfos is present in water soluble form, highest percentage among available complex fertilisers.
It also contains 13% Sulphur.",https://www.coromandel.biz/wp-content/uploads/2021/06/paramfos_big.png,https://www.coromandel.biz/product-service/paramfos/
